,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,train_accuracy,train_AUC,test_accuracy,test_AUC,best_train_accuracy,overfit_score,Unnamed: 0.1
47,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],True,3,0.5673828125,0.5561122244488979,0.521484375,0.5033329131379808,1.0,0.478515625,
48,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],False,4,1.0,1.0,1.0,1.0,1.0,0.0,
49,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],True,4,0.73828125,0.7314629258517034,0.5234375,0.5058693650848222,1.0,0.4765625,
50,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],False,5,1.0,1.0,1.0,1.0,1.0,0.0,
51,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],True,5,0.7578125,0.7516518751789292,0.5322265625,0.5185535347979052,1.0,0.4677734375,
52,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],False,7,1.0,1.0,1.0,1.0,1.0,0.0,
53,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],True,7,0.5126953125,0.5,0.5185546875,0.5,1.0,0.4814453125,
54,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],False,10,1.0,1.0,1.0,1.0,1.0,0.0,
55,[0.25],"[0.1, 0.65]",1024,1024,8,0,[20],True,10,0.5126953125,0.5,0.5185546875,0.5,1.0,0.4814453125,
56,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],False,1,1.0,1.0,1.0,1.0,1.0,0.0,
57,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],True,1,0.4951171875,0.4979666965494879,0.5263671875,0.5052701979668272,0.6057,0.07933281250000003,
58,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],False,2,1.0,1.0,1.0,1.0,1.0,0.0,
59,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],True,2,0.607421875,0.6096858488946535,0.5361328125,0.5168195368034855,0.8955,0.3593671875,
60,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],False,3,1.0,1.0,1.0,1.0,1.0,0.0,
61,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],True,3,0.66796875,0.6699029126213593,0.5419921875,0.5240350072613315,1.0,0.4580078125,
62,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],False,4,1.0,1.0,1.0,1.0,1.0,0.0,
63,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],True,4,1.0,1.0,0.5380859375,0.5337422609493235,1.0,0.4619140625,
64,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],False,5,1.0,1.0,1.0,1.0,1.0,0.0,
65,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],True,5,0.7265625,0.7270337803040418,0.533203125,0.5287242987082473,1.0,0.466796875,
66,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],False,7,1.0,1.0,1.0,1.0,1.0,0.0,
67,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],True,7,0.9970703125,0.9970873786407768,0.53125,0.510708553084155,1.0,0.46875,
68,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],False,10,1.0,1.0,1.0,1.0,1.0,0.0,
69,[0.25],"[0.1, 0.65]",2048,1024,8,0,[20],True,10,0.92578125,0.9262135922330096,0.52734375,0.5098219062906062,1.0,0.47265625,
