,n_samples,training_time,epoch_time,stride
0,10,4798.599999999999,23.993,1
1,10,542.4000000000001,2.712,10
2,50,4701.600000000001,23.508000000000006,1
3,50,553.0,2.765,10
4,100,4735.4,23.677,1
5,100,557.2,2.786,10
6,150,4730.599999999999,23.653,1
7,150,588.6,2.943,10
8,200,4889.8,24.449,1
9,200,546.4000000000001,2.732,10
10,250,4818.6,24.093000000000004,1
11,250,541.4,2.707,10
