,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,epoch,train_loss,val_loss
56,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,57,5.6898e-05,0.0449
57,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,58,5.6168e-05,0.0453
58,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,59,5.198899999999999e-05,0.045
59,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,60,4.3355e-05,0.0458
60,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,61,4.2702e-05,0.0455
61,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,62,4.517e-05,0.0455
62,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,63,3.8203e-05,0.0453
63,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,64,4.071e-05,0.0458
64,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,65,3.7245e-05,0.0452
65,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,66,3.9613e-05,0.0459
66,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,67,3.646e-05,0.0453
67,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,68,4.179100000000001e-05,0.0452
68,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,69,3.4262e-05,0.0455
69,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,70,3.2954e-05,0.045
70,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,71,3.2121999999999995e-05,0.0451
71,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,72,2.8278000000000003e-05,0.0447
72,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,73,2.6684e-05,0.0453
73,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,74,2.9231e-05,0.0453
74,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,75,2.8348e-05,0.0452
75,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,76,2.546e-05,0.0454
76,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,77,2.3945999999999997e-05,0.0448
77,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,78,2.5180999999999998e-05,0.0453
78,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,79,2.5074e-05,0.0451
79,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,80,2.1993e-05,0.0446
80,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,81,2.1774000000000002e-05,0.0451
81,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,82,2.4865e-05,0.0453
82,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,83,2.4455e-05,0.045
83,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,84,2.0861e-05,0.0449
84,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,85,1.8035999999999998e-05,0.0456
85,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,86,1.9038e-05,0.0447
86,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,87,1.6441e-05,0.0452
87,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,88,1.6139000000000003e-05,0.0454
88,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,89,1.8151e-05,0.0451
89,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,90,1.7412000000000002e-05,0.045
90,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,91,1.7625e-05,0.0449
91,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,92,1.7273e-05,0.0452
92,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,93,1.6678e-05,0.0455
93,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,94,1.6271e-05,0.045
94,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,95,1.4533e-05,0.0446
95,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,96,1.374e-05,0.0452
96,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,97,1.4905e-05,0.045
97,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,98,1.4005e-05,0.0449
98,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,99,1.2958e-05,0.0448
99,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,100,1.2774000000000002e-05,0.0452
100,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,1,0.7178,0.6974
101,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,2,0.6875,0.7089
102,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,3,0.6801,0.7439
103,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,4,0.6667,1.7309
104,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,5,0.6182,3.1693
105,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,6,0.5261,4.6289
106,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,7,0.40299999999999997,5.2146
107,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,8,0.3128,0.7554
108,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,9,0.2793,2.4388
109,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,10,0.2029,2.7891
110,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,11,0.1686,4.2751
111,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,12,0.1339,1.5746
112,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,13,0.1058,0.2594
113,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,14,0.0893,0.2784
114,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,15,0.0889,0.1993
115,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,16,0.0693,0.3169
116,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,17,0.057,0.3967
117,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,18,0.0486,1.4131
118,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,19,0.0472,0.2653
119,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,20,0.0309,0.2337
120,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,21,0.0287,0.3442
121,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,22,0.0308,0.1938
122,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,23,0.0217,0.1776
123,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,24,0.0172,0.1851
124,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,25,0.0194,0.517
125,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,26,0.0172,0.2096
126,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,27,0.0165,0.3945
127,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,28,0.0129,0.1896
128,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,29,0.0161,0.145
129,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,30,0.0103,0.2173
130,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,31,0.0117,0.2168
131,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,32,0.0074,0.1117
132,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,33,0.0085,0.1599
133,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,34,0.0075,0.1251
134,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,35,0.0068,0.1497
135,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,36,0.0065,0.1263
136,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,37,0.0081,0.1572
137,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,38,0.0064,0.1454
138,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,39,0.0064,0.1133
139,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,40,0.0043,0.2377
140,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,41,0.0045,0.1088
141,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,42,0.0064,1.6634
142,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,43,0.0081,1.1129
