,n_samples,training_time,epoch_time,stride
0,32,221.20000000000002,1.106,1
1,32,77.0,0.385,10
2,64,397.0,1.985,1
3,64,83.39999999999999,0.417,10
4,128,810.6,4.053,1
5,128,108.4,0.542,10
6,256,1370.2,6.851,1
7,256,184.8,0.924,10
8,512,2510.6000000000004,12.553,1
9,512,360.40000000000003,1.802,10
10,1024,4809.599999999999,24.048,1
11,1024,554.4,2.772,10
