,dataset,test_accuracy,test_AUC
0,auslan2,0.57,0.833
1,blocks,0.992,0.998
2,context,0.983,0.996
3,hepatitis,0.795,0.777
4,pioneer,0.993,0.999
5,skating,0.911,0.981
