,n_samples,training_time,epoch_time,stride
0,8,1667.2,8.336,1
1,8,162,0.81,10
2,16,1762.6,8.813,1
3,16,175.2,0.876,10
4,32,2024.2,10.121,1
5,32,217.2,1.086,10
6,64,2507,12.535,1
7,64,288,1.44,10
8,128,3338.2,16.691,1
9,128,445.4,2.227,10
