,n_samples,training_time,epoch_time,stride
0,100,215.0,2.15,1
1,100,44.3,0.44299999999999995,10
2,1000,2255.9,22.559,1
3,1000,263.5,2.635,10
4,2500,5486.1,54.861,1
5,2500,662.8,6.627999999999999,10
6,5000,10814.8,108.148,1
7,5000,1319.7,13.197000000000001,10
8,7500,16800.4,168.00400000000005,1
9,7500,2123.4,21.234,10
10,10000,22158.6,221.586,1
11,10000,3031.4,30.314,10
