,discriminative_pattern_len,discriminative_pattern_position,stis_series_len,entities_num,symbols_num,level,kernel_sizes,global_pool,depth,train_accuracy,train_AUC,test_accuracy,test_AUC
0,[0.25],"[0.1, 0.65]",128,1024,8,1,[5],False,3,1.0,1.0,0.994140625,0.9941289793427052
1,[0.25],"[0.1, 0.65]",128,1024,8,1,[5],True,3,0.634765625,0.6305034565904131,0.5283203125,0.5260438323764473
2,[0.25],"[0.1, 0.65]",128,1024,8,1,[10],False,3,0.9990234375,0.9990347490347492,0.9814453125,0.9815190646041162
3,[0.25],"[0.1, 0.65]",128,1024,8,1,[10],True,3,0.7412109375,0.7381422924901186,0.5185546875,0.5161863162111126
4,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],False,3,1.0,1.0,0.978515625,0.9785492208213324
5,[0.25],"[0.1, 0.65]",128,1024,8,1,[20],True,3,1.0,1.0,0.5078125,0.5068342647872279
6,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],False,3,1.0,1.0,0.9853515625,0.9853682262956112
7,[0.25],"[0.1, 0.65]",128,1024,8,1,[30],True,3,1.0,1.0,0.974609375,0.9745741697980048
8,[0.25],"[0.1, 0.65]",128,1024,8,1,[40],False,3,1.0,1.0,0.99609375,0.9960936158849448
9,[0.25],"[0.1, 0.65]",128,1024,8,1,[40],True,3,1.0,1.0,0.998046875,0.9980468079424724
10,[0.25],"[0.1, 0.65]",128,1024,8,1,[60],False,3,1.0,1.0,0.9951171875,0.9951227420985368
11,[0.25],"[0.1, 0.65]",128,1024,8,1,[60],True,3,1.0,1.0,0.9970703125,0.9970530451866404
12,[0.25],"[0.1, 0.65]",128,1024,8,1,[80],False,3,1.0,1.0,0.9990234375,0.9990291262135924
13,[0.25],"[0.1, 0.65]",128,1024,8,1,[80],True,3,1.0,1.0,0.9990234375,0.9990291262135924
14,[0.25],"[0.1, 0.65]",128,1024,8,1,[100],False,3,1.0,1.0,0.9951171875,0.9951227420985368
15,[0.25],"[0.1, 0.65]",128,1024,8,1,[100],True,3,1.0,1.0,1.0,1.0
16,[0.25],"[0.1, 0.65]",256,1024,8,1,[5],False,3,1.0,1.0,0.9951171875,0.9950641639605744
17,[0.25],"[0.1, 0.65]",256,1024,8,1,[5],True,3,0.609375,0.610103785103785,0.5205078125,0.5203767796293258
18,[0.25],"[0.1, 0.65]",256,1024,8,1,[10],False,3,1.0,1.0,0.98828125,0.9882432850116192
19,[0.25],"[0.1, 0.65]",256,1024,8,1,[10],True,3,0.58203125,0.5756105006105007,0.5205078125,0.5127870015988522
20,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],False,3,0.998046875,0.998015873015873,0.990234375,0.9901626708081644
21,[0.25],"[0.1, 0.65]",256,1024,8,1,[20],True,3,0.9326171875,0.9315476190476192,0.521484375,0.5150173813167063
22,[0.25],"[0.1, 0.65]",256,1024,8,1,[30],False,3,1.0,1.0,0.9892578125,0.9892373207969076
23,[0.25],"[0.1, 0.65]",256,1024,8,1,[30],True,3,1.0,1.0,0.533203125,0.5348790176407963
24,[0.25],"[0.1, 0.65]",256,1024,8,1,[40],False,3,1.0,1.0,0.98828125,0.9882432850116192
25,[0.25],"[0.1, 0.65]",256,1024,8,1,[40],True,3,1.0,1.0,0.5224609375,0.5208881070582265
26,[0.25],"[0.1, 0.65]",256,1024,8,1,[60],False,3,1.0,1.0,0.9833984375,0.9833417918592092
27,[0.25],"[0.1, 0.65]",256,1024,8,1,[60],True,3,1.0,1.0,0.5546875,0.5546872316961953
28,[0.25],"[0.1, 0.65]",256,1024,8,1,[80],False,3,1.0,1.0,0.9814453125,0.9814224060626644
29,[0.25],"[0.1, 0.65]",256,1024,8,1,[80],True,3,1.0,1.0,0.9873046875,0.9873522778873782
30,[0.25],"[0.1, 0.65]",256,1024,8,1,[100],False,3,1.0,1.0,0.9853515625,0.9851924918817232
31,[0.25],"[0.1, 0.65]",256,1024,8,1,[100],True,3,1.0,1.0,0.9853515625,0.9854672349778488
32,[0.25],"[0.1, 0.65]",512,1024,8,1,[5],False,3,1.0,1.0,0.94668,0.945088
33,[0.25],"[0.1, 0.65]",512,1024,8,1,[5],True,3,0.6083984375,0.589060450674712,0.525390625,0.5261517568655276
34,[0.25],"[0.1, 0.65]",512,1024,8,1,[10],False,3,1.0,1.0,0.994140625,0.9941406026481728
35,[0.25],"[0.1, 0.65]",512,1024,8,1,[10],True,3,0.9990234375,0.9989733059548256,0.5185546875,0.5185967201107792
36,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],False,3,1.0,1.0,0.9853515625,0.9853572286881588
37,[0.25],"[0.1, 0.65]",512,1024,8,1,[20],True,3,0.896484375,0.900156393990494,0.5244140625,0.5242806407189968
38,[0.25],"[0.1, 0.65]",512,1024,8,1,[30],False,3,1.0,1.0,0.9931640625,0.993158314355142
39,[0.25],"[0.1, 0.65]",512,1024,8,1,[30],True,3,1.0,1.0,0.5263671875,0.52649698828502
40,[0.25],"[0.1, 0.65]",512,1024,8,1,[40],False,3,1.0,1.0,0.984375,0.9843863845305808
41,[0.25],"[0.1, 0.65]",512,1024,8,1,[40],True,3,0.619140625,0.6188039874731855,0.5224609375,0.5224800967410916
42,[0.25],"[0.1, 0.65]",512,1024,8,1,[60],False,3,1.0,1.0,0.9716796875,0.9716814868220779
43,[0.25],"[0.1, 0.65]",512,1024,8,1,[60],True,3,1.0,1.0,0.5205078125,0.5197869101978692
44,[0.25],"[0.1, 0.65]",512,1024,8,1,[80],False,3,1.0,1.0,0.9638671875,0.9638765864432772
45,[0.25],"[0.1, 0.65]",512,1024,8,1,[80],True,3,1.0,1.0,0.5263671875,0.5268097946540629
46,[0.25],"[0.1, 0.65]",512,1024,8,1,[100],False,3,1.0,1.0,0.9501953125,0.9502199181362844
47,[0.25],"[0.1, 0.65]",512,1024,8,1,[100],True,3,1.0,1.0,0.546875,0.5470601923377698
48,[0.25],"[0.1, 0.65]",1024,1024,8,1,[5],False,3,1.0,1.0,0.84668,0.845088
49,[0.25],"[0.1, 0.65]",1024,1024,8,1,[5],True,3,0.8779296875,0.8773795209466552,0.5224609375,0.5224269474326696
50,[0.25],"[0.1, 0.65]",1024,1024,8,1,[10],False,3,1.0,1.0,0.90668,0.905088
51,[0.25],"[0.1, 0.65]",1024,1024,8,1,[10],True,3,0.9013671875,0.8987975951903808,0.529296875,0.5282291905088884
52,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],False,3,1.0,1.0,0.94668,0.945088
53,[0.25],"[0.1, 0.65]",1024,1024,8,1,[20],True,3,0.7802734375,0.7763851512548908,0.5390625,0.5383306630045015
54,[0.25],"[0.1, 0.65]",1024,1024,8,1,[30],False,3,1.0,1.0,0.970703125,0.9706874189364462
55,[0.25],"[0.1, 0.65]",1024,1024,8,1,[30],True,3,1.0,1.0,0.5263671875,0.525524528877699
56,[0.25],"[0.1, 0.65]",1024,1024,8,1,[40],False,3,1.0,1.0,0.939453125,0.9394140535591669
57,[0.25],"[0.1, 0.65]",1024,1024,8,1,[40],True,3,0.8291015625,0.829413111938162,0.509765625,0.5098954757000076
58,[0.25],"[0.1, 0.65]",1024,1024,8,1,[60],False,3,1.0,1.0,0.9443359375,0.9442854962996872
59,[0.25],"[0.1, 0.65]",1024,1024,8,1,[60],True,3,1.0,1.0,0.5341796875,0.5340390630960555
60,[0.25],"[0.1, 0.65]",1024,1024,8,1,[80],False,3,1.0,1.0,0.9365234375,0.9364118410009918
61,[0.25],"[0.1, 0.65]",1024,1024,8,1,[80],True,3,1.0,1.0,0.5234375,0.523994811932555
62,[0.25],"[0.1, 0.65]",1024,1024,8,1,[100],False,3,1.0,1.0,0.94140625,0.9413519493400474
63,[0.25],"[0.1, 0.65]",1024,1024,8,1,[100],True,3,1.0,1.0,0.513671875,0.514877546349279
64,[0.25],"[0.1, 0.65]",2048,1024,8,1,[5],False,3,1.0,1.0,0.529296875,0.5288925202066288
65,[0.25],"[0.1, 0.65]",2048,1024,8,1,[5],True,3,0.68359375,0.6818204360348675,0.517578125,0.5063970158713189
66,[0.25],"[0.1, 0.65]",2048,1024,8,1,[10],False,3,1.0,1.0,0.800781,0.800152
67,[0.25],"[0.1, 0.65]",2048,1024,8,1,[10],True,3,0.5029296875,0.5,0.5146484375,0.5
68,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],False,3,1.0,1.0,0.859375,0.8599414322748635
69,[0.25],"[0.1, 0.65]",2048,1024,8,1,[20],True,3,0.5439453125,0.5412573673870333,0.5224609375,0.5083346378078719
70,[0.25],"[0.1, 0.65]",2048,1024,8,1,[30],False,3,0.7119140625,0.711349114006142,0.84668,0.845088
71,[0.25],"[0.1, 0.65]",2048,1024,8,1,[30],True,3,0.9970703125,0.9970530451866404,0.5341796875,0.5261340338043441
72,[0.25],"[0.1, 0.65]",2048,1024,8,1,[40],False,3,1.0,1.0,0.8466796875,0.8450876034193777
73,[0.25],"[0.1, 0.65]",2048,1024,8,1,[40],True,3,0.990234375,0.9901768172888016,0.5224609375,0.5112553881161733
74,[0.25],"[0.1, 0.65]",2048,1024,8,1,[60],False,3,1.0,1.0,0.7958984375,0.7952935831306625
75,[0.25],"[0.1, 0.65]",2048,1024,8,1,[60],True,3,0.5048828125,0.5019646365422397,0.515625,0.5010060362173039
76,[0.25],"[0.1, 0.65]",2048,1024,8,1,[80],False,3,1.0,1.0,0.80078125,0.8001519553755169
77,[0.25],"[0.1, 0.65]",2048,1024,8,1,[80],True,3,0.75,0.7485265225933202,0.5205078125,0.5065516438288173
78,[0.25],"[0.1, 0.65]",2048,1024,8,1,[100],False,3,1.0,1.0,0.795898,0.795294
79,[0.25],"[0.1, 0.65]",2048,1024,8,1,[100],True,3,1.0,1.0,0.53125,0.5208824102107904
